#name                        dt     m1   m2     zl  zs     id      tau     sig
tdc1_rung1_double_pair44.txt -17.61 23.04 23.05 0.428 4.77 3596006 789.81271 0.00417
tdc1_rung1_double_pair45.txt -73.39 20.85 20.86 1.2 2.72 44788861 44.0507 0.01313
tdc1_rung1_double_pair46.txt 29.24 21.39 23.12 0.502 1.82 5499395 157.39622 0.03058
tdc1_rung1_double_pair47.txt -5.13 20.07 20.87 0.196 1.11 400908 345.98879 0.00482
tdc1_rung1_double_pair48.txt -19.9 21.65 20.66 0.616 3.61 9354189 150.26899 0.02382
tdc1_rung1_double_pair49.txt 64.28 21.02 22.68 1.988 3.63 118440218 180.86684 0.00825
tdc1_rung1_double_pair50.txt -26.97 21.38 21.64 0.348 2.64 2046483 153.21605 0.00674
tdc1_rung1_double_pair51.txt -43.81 19.51 21.31 1.052 2.02 33615482 532.03145 0.0059
tdc1_rung1_double_pair52.txt 57.01 19.15 20.94 0.516 1.57 5922188 126.19774 0.00729
tdc1_rung1_double_pair53.txt -55.36 18.06 20.19 0.218 2.1 553152 56.44342 0.01294
tdc1_rung1_double_pair54.txt -29.21 22.16 22.64 1.426 2.56 63911467 295.2631 0.00507
tdc1_rung1_double_pair55.txt -11.48 20.67 21.95 0.168 1.64 260510 131.58531 0.02859
tdc1_rung1_double_pair56.txt -79.94 20.02 22.36 0.252 1.26 836521 376.86034 0.00844
tdc1_rung1_double_pair57.txt 27.13 20.06 19.41 0.592 2.62 8444584 100.94452 0.03438
tdc1_rung1_double_pair58.txt 33.98 20.02 20.76 1.946 3.95 114159075 114.92928 0.01364
tdc1_rung1_double_pair59.txt 39.77 21.54 21.93 0.546 1.73 6857748 260.13792 0.02986
tdc1_rung1_double_pair60.txt 90.58 19.42 20.81 0.85 2.51 20628789 885.05732 0.00887
tdc1_rung1_double_pair61.txt 72.14 21.88 23.07 0.76 1.27 15782550 300.84177 0.02813
tdc1_rung1_double_pair62.txt 54.72 19.79 20.51 0.296 1.92 1311739 911.68534 0.00749
tdc1_rung1_double_pair63.txt -23.92 18.77 20.3 0.1 0.74 58449 154.54672 0.03111
tdc1_rung1_double_pair64.txt 102.22 22.67 23.22 0.576 1.58 7882572 75.6378 0.02609
tdc1_rung1_double_pair65.txt 7.85 22.06 22.16 0.302 2.4 1384410 153.63432 0.00991
tdc1_rung1_double_pair66.txt -92.23 19.65 20.99 0.332 2.88 1804892 187.81911 0.01813
tdc1_rung1_double_pair67.txt 61.28 22.24 22.97 0.576 2.64 7884798 217.6562 0.00745
tdc1_rung1_double_pair68.txt 14.24 20.14 21.4 0.376 0.91 2526037 997.97867 0.01058
tdc1_rung1_double_pair69.txt -21.56 19.7 21.83 0.526 1.66 6193491 116.86266 0.01093
tdc1_rung1_double_pair70.txt 20.68 20.52 22.6 0.82 4.11 18893595 54.4918 0.01959
tdc1_rung1_double_pair71.txt 10.97 21.95 22.3 0.374 1.42 2488304 281.43943 0.01154
tdc1_rung1_double_pair72.txt -77.22 19.41 21.55 0.898 3.17 23465045 110.82178 0.02943
tdc1_rung1_double_pair73.txt -59.54 23.01 21.62 0.364 2.39 2326678 61.98003 0.03912
tdc1_rung1_double_pair74.txt -71.98 21.83 21.81 0.796 2.01 17639193 32.04324 0.07333
tdc1_rung1_double_pair75.txt -38.57 22.26 23.09 1.012 3.91 30810247 397.46114 0.01087
tdc1_rung1_double_pair76.txt 88.8 19.2 20.72 0.188 1.54 364922 696.04015 0.00361
tdc1_rung1_double_pair77.txt 82.02 21.31 22.48 1.056 1.85 33938478 34.69556 0.06193
tdc1_rung1_double_pair78.txt 12.07 19.52 21.83 0.466 3.19 4499667 44.64898 0.01795
tdc1_rung1_double_pair79.txt -82.13 22.3 23.07 0.506 1.9 5625543 169.34264 0.03474
tdc1_rung1_double_pair80.txt -26.36 20.74 22.52 0.388 2.85 2752822 72.30333 0.03322
tdc1_rung1_double_pair81.txt -101.14 20.11 21.48 0.822 2.59 19059336 310.31231 0.01346
tdc1_rung1_double_pair82.txt 31.3 22.3 23.02 0.318 3.73 1599437 387.21437 0.00975
tdc1_rung1_double_pair83.txt -81.26 22.38 23.19 1.214 2.23 45928020 224.52383 0.02309
tdc1_rung1_double_pair84.txt -84.85 18.38 20.21 1.264 2.05 49980948 233.99551 0.03017
tdc1_rung1_double_pair85.txt -88.32 21.75 22.33 1.208 3.9 45423566 131.99803 0.0296
tdc1_rung1_double_pair86.txt -10.33 20.52 19.11 0.18 1.23 317729 735.60698 0.0119
tdc1_rung1_double_pair87.txt -45.94 21.01 21.22 0.756 1.98 15586226 73.61062 0.03158
tdc1_rung1_double_pair88.txt 107.35 20.97 22.8 0.38 2.67 2610554 443.70576 0.01119
tdc1_rung1_double_pair89.txt -118.27 19.21 20.27 0.238 1.42 710960 34.43613 0.03714
tdc1_rung1_double_pair90.txt -42.16 21.65 21.37 1.006 2.05 30436554 47.85819 0.06614
tdc1_rung1_double_pair91.txt 8.75 20.88 21.05 0.234 2.0 673283 56.37229 0.04021
tdc1_rung1_double_pair92.txt -7.14 22.32 23.16 0.378 0.62 2571788 225.12584 0.0054
tdc1_rung1_double_pair93.txt -22.16 22.83 23.12 1.048 2.32 33318966 42.59265 0.01546
tdc1_rung1_double_pair94.txt -62.04 19.8 20.87 1.592 3.56 79201236 68.93764 0.03037
tdc1_rung1_double_pair95.txt 50.23 20.94 20.91 0.81 1.67 18377510 300.84177 0.02813
tdc1_rung1_double_pair96.txt 50.25 21.5 23.21 0.844 4.22 20260458 114.92928 0.01364
tdc1_rung1_double_pair97.txt 51.35 21.43 21.27 0.642 2.05 10377044 104.95974 0.00958
tdc1_rung1_double_pair98.txt -80.63 21.53 23.24 0.746 2.92 15077332 93.5632 0.05081
tdc1_rung1_double_pair99.txt 65.98 19.22 20.45 0.398 2.66 2962841 592.79171 0.0033
tdc1_rung1_double_pair100.txt 16.48 22.95 22.61 1.386 3.98 60354182 214.36793 0.02449
tdc1_rung1_double_pair101.txt 40.35 22.82 21.24 1.072 2.43 35075057 40.4225 0.02942
tdc1_rung1_double_pair102.txt -13.04 20.39 20.66 0.842 2.33 20125858 730.23515 0.00885
tdc1_rung1_double_pair103.txt 29.1 19.74 20.45 1.118 1.6 38466477 395.56307 0.02257
tdc1_rung1_double_pair104.txt -97.3 19.1 20.18 0.542 1.83 6729030 393.12768 0.00566
tdc1_rung1_double_pair105.txt -77.28 20.0 21.66 0.362 0.69 2291722 69.58739 0.04434
tdc1_rung1_double_pair106.txt -22.23 22.48 22.42 0.164 2.77 243722 538.07035 0.0162
tdc1_rung1_double_pair107.txt -23.74 20.53 21.62 1.012 3.7 30790193 739.25229 0.00711
tdc1_rung1_double_pair108.txt 38.21 20.98 23.16 0.482 2.63 4933154 106.51844 0.03356
tdc1_rung1_double_pair109.txt -25.06 21.71 22.95 1.264 2.93 49962241 946.81212 0.00361
tdc1_rung1_double_pair110.txt -21.04 19.27 20.94 0.81 3.44 18386559 78.29509 0.02097
tdc1_rung1_double_pair111.txt 117.61 20.66 20.66 0.846 2.78 20407514 717.10674 0.00822
tdc1_rung1_double_pair112.txt -61.6 22.17 22.5 0.792 3.36 17417506 105.92882 0.01942
tdc1_rung1_double_pair113.txt -75.93 23.16 23.22 0.526 2.04 6229919 187.85366 0.00905
tdc1_rung1_double_pair114.txt 62.29 21.03 22.52 0.184 0.48 342959 184.42007 0.0075
tdc1_rung1_double_pair115.txt -30.77 20.16 20.63 0.62 1.82 9498252 643.07832 0.00899
tdc1_rung1_double_pair116.txt -36.25 19.84 21.88 0.204 1.86 457723 43.63188 0.0191
tdc1_rung1_double_pair117.txt 44.33 20.2 21.42 1.542 2.48 74501818 497.0091 0.01934
tdc1_rung1_double_pair118.txt 9.21 20.74 20.54 0.478 1.41 4810880 171.56949 0.02144
tdc1_rung1_double_pair119.txt 20.53 20.11 21.69 0.904 1.98 23827374 34.72101 0.07884
tdc1_rung1_double_pair120.txt -32.53 22.91 23.29 0.988 2.57 29218108 93.19644 0.02102
tdc1_rung1_double_pair121.txt -88.02 21.04 21.02 0.318 3.81 1603461 100.36581 0.0398
tdc1_rung1_double_pair122.txt 36.34 22.63 22.73 0.588 2.42 8296935 239.12531 0.01081
tdc1_rung1_double_pair123.txt -11.82 22.53 22.79 0.164 3.58 246771 966.42174 0.01021
tdc1_rung1_double_pair124.txt -33.49 19.96 22.36 0.246 1.78 779384 566.27609 0.01547
tdc1_rung1_double_pair125.txt -21.59 22.16 22.45 1.188 2.84 43822147 31.7443 0.01868
tdc1_rung1_double_pair126.txt 11.13 20.22 21.0 0.186 1.47 347938 62.18598 0.02382
tdc1_rung1_double_pair127.txt 47.58 22.17 23.25 1.024 1.88 31679510 166.2434 0.00767
tdc1_rung1_double_pair128.txt 53.93 21.0 21.11 2.21 5.04 141503898 99.05471 0.01636
tdc1_rung1_double_pair129.txt 88.77 21.26 21.41 0.44 1.66 3883741 33.48201 0.01617
tdc1_rung1_double_pair130.txt -23.65 23.15 22.54 1.234 2.4 47458270 855.26776 0.01225
tdc1_rung1_double_pair131.txt 47.28 20.19 20.74 0.622 1.25 9587724 708.33634 0.00426
tdc1_rung1_double_pair132.txt -22.92 21.39 22.33 0.314 2.56 1539743 37.83871 0.01673
tdc1_rung1_double_pair133.txt -45.03 22.08 22.11 0.638 2.39 10222816 37.17212 0.06272
tdc1_rung1_double_pair134.txt -102.17 19.95 22.4 0.834 2.41 19719243 393.12768 0.00566
tdc1_rung1_double_pair135.txt -60.74 20.65 20.38 1.158 2.11 41528858 60.49605 0.03042
tdc1_rung1_double_pair136.txt 50.72 19.0 20.17 0.848 2.19 20507479 884.65061 0.00473
tdc1_rung1_double_pair137.txt 40.85 21.21 21.79 1.362 2.34 58243267 40.20634 0.0331
tdc1_rung1_double_pair138.txt 58.83 21.62 22.99 0.33 2.39 1770380 59.68679 0.02627
tdc1_rung1_double_pair139.txt 39.2 20.93 21.89 1.402 2.06 61777552 66.62308 0.01706
tdc1_rung1_double_pair140.txt 65.95 20.72 20.49 1.468 2.48 67688500 172.83074 0.03203
tdc1_rung1_double_pair141.txt 60.77 22.66 23.2 0.384 1.72 2686071 214.78662 0.02815
tdc1_rung1_double_pair142.txt 41.63 21.07 21.6 0.744 2.15 14976503 77.75749 0.04111
tdc1_rung1_double_pair143.txt 42.16 21.4 21.55 1.036 3.82 32494505 98.6641 0.04242
tdc1_rung1_double_pair144.txt -5.78 21.51 22.6 0.388 3.54 2736515 53.4707 0.01867
tdc1_rung1_double_pair145.txt 23.73 19.31 20.39 0.502 1.12 5503912 393.29383 0.0118
tdc1_rung1_double_pair146.txt -68.67 22.86 23.23 1.136 3.28 39827275 116.86266 0.01093
tdc1_rung1_double_pair147.txt 38.25 20.83 21.39 0.764 3.0 15963786 426.45395 0.00867
tdc1_rung1_double_pair148.txt 17.38 21.01 21.41 0.426 2.6 3540712 78.20988 0.03505
tdc1_rung1_double_pair149.txt -66.4 22.27 22.67 0.48 2.67 4893136 301.83225 0.00747
tdc1_rung1_double_pair150.txt -18.02 22.12 22.93 0.514 1.37 5847651 113.02589 0.01112
tdc1_rung1_double_pair151.txt 29.4 21.4 20.57 0.354 1.33 2148358 589.40592 0.00369
tdc1_rung1_double_pair152.txt -53.49 23.16 21.65 0.554 3.46 7127027 36.64991 0.02272
tdc1_rung1_double_pair153.txt 21.2 19.65 20.96 0.574 1.03 7788057 418.38125 0.00815
tdc1_rung1_double_pair154.txt 22.43 20.77 22.08 1.062 2.46 34306307 802.08127 0.01095
tdc1_rung1_double_pair155.txt 87.48 20.44 21.07 0.414 1.07 3296997 173.62012 0.02022
tdc1_rung1_double_pair156.txt -113.4 20.7 23.17 0.496 2.71 5336403 154.54672 0.03111
tdc1_rung1_double_pair157.txt 33.85 20.63 21.3 0.27 1.54 1012286 387.21437 0.00975
tdc1_rung1_double_pair158.txt 66.17 21.61 23.11 0.418 3.29 3380384 450.00867 0.00482
tdc1_rung1_double_pair159.txt 23.31 20.67 21.57 0.52 1.74 6028203 467.29596 0.01216
tdc1_rung1_double_pair160.txt 15.75 20.82 22.36 0.178 1.97 311278 136.15411 0.02044
tdc1_rung1_double_pair161.txt -27.2 18.95 20.97 0.464 1.65 4469935 321.82746 0.00964
tdc1_rung1_double_pair162.txt 70.67 23.03 23.23 1.338 3.52 56204963 220.78275 0.03341
tdc1_rung1_double_pair163.txt -80.9 21.21 22.94 0.358 2.68 2217988 97.47568 0.04926
tdc1_rung1_double_pair164.txt -28.21 22.64 22.99 0.58 4.21 8008638 482.55702 0.00619
tdc1_rung1_double_pair165.txt -43.39 21.65 21.79 1.09 4.74 36377908 258.91188 0.01673
tdc1_rung1_double_pair166.txt -88.26 21.07 23.29 0.898 3.03 23457472 186.127 0.00705
tdc1_rung1_double_pair167.txt 73.73 21.28 22.54 0.888 1.48 22881117 248.05559 0.02653
tdc1_rung1_double_pair168.txt -33.75 18.47 20.69 0.374 0.51 2504560 327.57486 0.01066
tdc1_rung1_double_pair169.txt 21.83 20.75 21.93 0.14 2.36 154028 74.97049 0.01856
tdc1_rung1_double_pair170.txt 25.6 21.62 22.72 0.456 2.4 4265781 526.74212 0.00353
tdc1_rung1_double_pair171.txt 32.63 21.96 23.11 1.184 4.27 43479581 119.06197 0.01561
tdc1_rung1_double_pair172.txt -70.02 19.93 21.5 0.406 2.88 3124981 116.72108 0.0258
tdc1_rung1_double_pair173.txt 70.89 22.22 23.11 1.466 2.41 67516951 159.27904 0.02572
tdc1_rung1_double_pair174.txt -36.81 22.97 22.5 0.714 2.88 13541360 260.30231 0.01925
tdc1_rung1_double_pair175.txt -28.32 21.66 22.4 0.744 3.2 14945375 794.85489 0.01317
tdc1_rung1_double_pair176.txt 93.53 19.34 20.74 1.286 2.54 51810830 151.70235 0.0155
tdc1_rung1_double_pair177.txt -39.05 22.27 22.63 1.496 3.98 70257822 786.49613 0.01069
tdc1_rung1_double_pair178.txt 71.03 20.76 20.64 1.134 2.71 39686563 299.41784 0.00787
tdc1_rung1_double_pair179.txt 14.82 22.34 22.79 0.384 1.75 2684105 395.87076 0.0168
tdc1_rung1_double_pair180.txt -101.46 21.2 23.15 0.888 3.49 22874973 633.62821 0.00435
tdc1_rung1_double_pair181.txt -38.12 21.99 21.71 0.264 1.87 954406 689.98838 0.00519
tdc1_rung1_double_pair182.txt 71.01 21.83 23.0 0.374 3.56 2497481 423.48197 0.01803
tdc1_rung1_double_pair183.txt 16.66 20.7 21.72 0.26 2.38 911705 721.40215 0.00406
tdc1_rung1_double_pair184.txt -111.15 20.01 20.62 1.288 2.7 51963820 39.50575 0.01792
tdc1_rung1_double_pair185.txt 88.92 21.53 21.82 0.828 2.57 19403020 87.53212 0.03785
tdc1_rung1_double_pair186.txt -71.59 19.67 22.12 0.338 1.99 1895747 104.91506 0.00968
tdc1_rung1_double_pair187.txt 23.12 20.16 22.41 0.23 0.8 641529 52.64476 0.06006
tdc1_rung1_double_pair188.txt 7.25 21.48 22.73 0.802 2.54 17926430 690.48055 0.00486
tdc1_rung1_double_pair189.txt -56.89 21.44 23.1 1.256 3.13 49297836 159.94551 0.02171
tdc1_rung1_double_pair190.txt -72.75 19.94 20.91 1.074 2.37 35236832 260.86629 0.01033
tdc1_rung1_double_pair191.txt 18.89 23.19 22.82 1.122 2.06 38752939 691.33169 0.00915
tdc1_rung1_double_pair192.txt 101.0 21.17 23.19 0.99 2.98 29369619 775.77407 0.0041
tdc1_rung1_double_pair193.txt -32.48 22.25 23.18 0.59 3.45 8376557 321.82746 0.00964
tdc1_rung1_double_pair194.txt 93.88 21.5 21.91 0.968 1.93 27904425 448.8832 0.01956
tdc1_rung1_double_pair195.txt -19.18 21.12 20.9 0.796 3.34 17611701 249.08372 0.00781
tdc1_rung1_double_pair196.txt -75.24 20.06 19.97 0.898 2.85 23474868 169.34264 0.03474
tdc1_rung1_double_pair197.txt -31.22 23.27 22.37 0.69 1.74 12438093 177.96481 0.01768
tdc1_rung1_double_pair198.txt 12.72 21.71 21.53 0.61 2.6 9101139 197.27831 0.0057
tdc1_rung1_double_pair199.txt 10.57 18.42 20.6 0.402 1.66 3027621 254.60144 0.01678
tdc1_rung1_double_pair200.txt -38.04 21.18 21.65 0.758 2.25 15679444 434.36823 0.01086
tdc1_rung1_double_pair201.txt -17.83 21.17 22.12 1.048 3.58 33326296 385.05966 0.01552
tdc1_rung1_double_pair202.txt -50.81 19.76 20.32 1.21 1.92 45586525 58.48972 0.01886
tdc1_rung1_double_pair203.txt -41.72 20.34 22.34 0.47 1.7 4625147 643.07832 0.00899
tdc1_rung1_double_pair204.txt -111.04 19.1 20.81 0.292 1.3 1265316 77.28204 0.01805
tdc1_rung1_double_pair205.txt -31.66 21.67 21.42 0.318 3.26 1599120 333.53077 0.01829
tdc1_rung1_double_pair206.txt -54.99 20.82 22.62 0.656 1.65 10959484 167.37911 0.02953
tdc1_rung1_double_pair207.txt 57.72 20.37 20.87 0.738 3.08 14687418 119.06197 0.01561
tdc1_rung1_double_pair208.txt 39.93 21.31 20.83 1.972 3.49 116811153 60.30752 0.02386
tdc1_rung1_double_pair209.txt -40.56 18.95 20.94 0.328 2.44 1745515 302.24199 0.00682
tdc1_rung1_double_pair210.txt 6.04 22.23 22.14 0.808 2.64 18243416 588.28825 0.0095
tdc1_rung1_double_pair211.txt -28.54 21.16 23.3 0.472 2.41 4669898 107.98127 0.04443
tdc1_rung1_double_pair212.txt 93.93 19.59 20.89 1.164 3.58 41976137 295.83021 0.00851
tdc1_rung1_double_pair213.txt 88.01 22.21 22.89 1.444 2.21 65544739 717.10674 0.00822
tdc1_rung1_double_pair214.txt 11.66 20.46 21.23 0.672 2.02 11600473 220.78275 0.03341
tdc1_rung1_double_pair215.txt -53.45 23.12 22.33 0.974 2.49 28297294 78.29509 0.02097
tdc1_rung1_double_pair216.txt 17.68 22.89 23.06 0.37 1.56 2429641 74.97049 0.01856
tdc1_rung1_double_pair217.txt 52.25 20.77 21.89 0.446 1.52 4021386 194.70145 0.01688
tdc1_rung1_double_pair218.txt 82.96 20.05 20.7 0.75 2.26 15267718 73.69901 0.02818
tdc1_rung1_double_pair219.txt -109.51 21.24 21.57 0.638 1.74 10234060 683.58049 0.00679
tdc1_rung1_double_pair220.txt 13.26 21.48 22.15 0.632 2.63 9947828 122.49057 0.00979
tdc1_rung1_double_pair221.txt -30.01 21.34 20.46 1.064 2.55 34484922 61.98003 0.03912
tdc1_rung1_double_pair222.txt 18.36 20.15 19.98 1.166 1.94 42104439 668.24272 0.01871
tdc1_rung1_double_pair223.txt -18.27 20.51 21.47 0.712 2.3 13423298 507.43224 0.01664
tdc1_rung1_double_pair224.txt 80.79 19.94 21.33 0.848 2.18 20498984 39.95443 0.02395
tdc1_rung1_double_pair225.txt 38.63 18.83 20.31 0.46 2.26 4359243 259.56163 0.02477
tdc1_rung1_double_pair226.txt 37.15 21.75 22.4 0.768 4.9 16140579 172.83074 0.03203
tdc1_rung1_double_pair227.txt 46.64 20.94 22.66 0.834 4.35 19684771 290.56653 0.02297
tdc1_rung1_double_pair228.txt 21.19 20.99 22.21 0.322 2.47 1648586 64.69719 0.03818
tdc1_rung1_double_pair229.txt 8.63 22.43 23.16 1.4 4.68 61540556 126.19774 0.00729
tdc1_rung1_double_pair230.txt 68.23 22.97 22.7 0.44 3.11 3883920 265.46753 0.0082
tdc1_rung1_double_pair231.txt 46.39 20.54 21.89 0.648 3.32 10618932 53.00956 0.02051
tdc1_rung1_double_pair232.txt 30.34 20.47 21.11 0.474 3.51 4722110 310.694 0.00758
tdc1_rung1_double_pair233.txt 42.39 19.33 20.11 0.866 2.07 21550347 159.00051 0.03069
tdc1_rung1_double_pair234.txt 49.23 22.19 23.06 0.496 1.69 5333571 254.60144 0.01678
tdc1_rung1_double_pair235.txt -25.72 19.66 20.3 0.414 2.05 3291694 116.41728 0.01427
tdc1_rung1_double_pair236.txt -8.98 20.69 20.72 0.55 2.5 6960801 869.94445 0.00293
tdc1_rung1_double_pair237.txt -52.2 18.51 20.15 0.6 2.98 8730407 247.35293 0.00894
tdc1_rung1_double_pair238.txt 102.93 20.97 22.33 0.64 2.43 10309135 159.00051 0.03069
tdc1_rung1_double_pair239.txt -73.6 19.92 20.41 0.98 3.18 28699855 78.82427 0.0401
tdc1_rung1_double_pair240.txt -73.12 19.92 21.54 1.228 1.89 47028279 40.88533 0.01933
tdc1_rung1_double_pair241.txt -85.52 19.83 20.48 1.076 1.95 35377267 175.03389 0.00908
tdc1_rung1_double_pair242.txt 37.87 19.44 20.51 1.39 2.38 60702252 86.12753 0.03247
tdc1_rung1_double_pair243.txt -8.05 23.13 23.02 0.822 3.26 19025628 35.04604 0.07917
tdc1_rung1_double_pair244.txt 72.17 21.57 23.01 0.274 2.76 1056613 140.83081 0.04121
tdc1_rung1_double_pair245.txt 11.28 20.96 20.73 0.228 4.39 627821 44.26798 0.04422
tdc1_rung1_double_pair246.txt 31.38 20.02 20.89 0.662 1.75 11193473 32.55236 0.01918
tdc1_rung1_double_pair247.txt 109.74 19.17 20.84 0.762 1.24 15881093 500.50691 0.00424
tdc1_rung1_double_pair248.txt 13.78 20.79 20.85 0.428 1.34 3601082 347.86937 0.01002
tdc1_rung1_double_pair249.txt -66.53 22.6 22.91 1.824 3.26 101832205 64.0974 0.02636
tdc1_rung1_double_pair250.txt -76.31 22.54 23.16 0.37 2.5 2430805 745.83114 0.00379
tdc1_rung1_double_pair251.txt -22.92 22.15 23.14 0.926 2.85 25152780 633.78015 0.00352
tdc1_rung1_double_pair252.txt -12.7 22.49 23.01 0.856 2.84 20926788 376.20163 0.01001
tdc1_rung1_double_pair253.txt 97.98 20.79 20.46 0.548 2.07 6932098 533.98003 0.01949
tdc1_rung1_double_pair254.txt -44.97 21.2 21.41 0.292 1.35 1262247 270.8074 0.02263
tdc1_rung1_double_pair255.txt 30.98 20.87 23.24 0.572 2.34 7709512 37.87739 0.04131
tdc1_rung1_double_pair256.txt -63.12 20.71 20.97 1.468 2.29 67711225 238.65439 0.02823
tdc1_rung1_double_pair257.txt -86.73 22.08 22.86 1.126 2.34 39077576 135.49678 0.01917
tdc1_rung1_double_pair258.txt -36.27 21.52 22.65 0.902 3.57 23690852 142.86556 0.01148
tdc1_rung1_double_pair259.txt 19.56 21.83 23.08 0.978 1.76 28537080 56.37229 0.04021
tdc1_rung1_double_pair260.txt 30.93 22.26 23.23 0.56 2.9 7326385 295.83021 0.00851
tdc1_rung1_double_pair261.txt -7.86 23.04 23.0 0.708 3.02 13209241 34.08501 0.04126
tdc1_rung1_double_pair262.txt 85.09 19.31 20.66 0.84 1.59 20067887 600.63996 0.00353
tdc1_rung1_double_pair263.txt -79.92 18.96 21.15 0.436 2.28 3789751 49.12642 0.01714
tdc1_rung1_double_pair264.txt 91.46 21.88 22.78 0.832 2.48 19607736 979.53933 0.00492
tdc1_rung1_double_pair265.txt 53.09 22.59 22.72 1.024 2.47 31692320 79.59465 0.01133
tdc1_rung1_double_pair266.txt -38.04 21.29 23.24 0.886 2.94 22722938 145.69362 0.01862
tdc1_rung1_double_pair267.txt 9.81 18.9 20.72 0.248 2.67 796927 93.14916 0.01024
tdc1_rung1_double_pair268.txt -96.61 21.29 22.96 0.51 1.28 5736682 57.97845 0.0291
